cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz34804,Clayton,0.2723,0.749,0.4653
cz3600,Alexandria,0.2722,0.7673,27.08
cz33500,Texarkana,0.272,0.7533,24.13
cz21101,Rice Lake,0.2719,0.8269,11.16
cz32503,Haskell,0.2717,0.7869,1.302
cz32302,Brady,0.2715,0.7691,3.277
cz3700,Lake Charles,0.2712,0.7601,21.91
cz402,Martinsville,0.2711,0.7762,38.21
cz30000,Russellville,0.2705,0.7488,16.44
cz10802,Demopolis,0.2703,0.7492,5.465
cz5000,Tupelo,0.27,0.7814,25.38
cz4302,Searcy,0.2697,0.7388,18.12
cz15700,Scioto,0.2693,0.7353,32.63
cz12401,Alpena,0.269,0.786,11.83
cz37601,Elko,0.269,0.7705,1.008
cz13700,Concord,0.2685,0.7785,76.4
cz11800,Mount Pleasant,0.2684,0.7811,34.95
cz8503,Valdosta,0.2683,0.7557,32.91
cz29504,Sedalia,0.2683,0.7758,13.87
cz33901,Ada,0.2674,0.7467,9.523
cz6502,Cleveland,0.2673,0.75,47.14
cz5402,Glasgow,0.2667,0.7539,19.11
cz16902,Spencer,0.2667,0.7285,9.689
cz11202,Welch,0.2665,0.6743,12.52
cz26401,Ekalaka,0.2663,0.7198,0.2329
cz37603,Portola,0.2661,0.7539,2.39
cz34307,Colstrip,0.266,0.7364,0.5769
cz35904,Richfield,0.2656,0.7739,1.496
cz12702,Maysville,0.2656,0.753,16.53
cz31503,Laredo,0.2654,0.7279,20.45
cz37200,Fresno,0.2649,0.7233,45.9
cz9001,Vidalia,0.2647,0.7472,15.4
cz4701,Greenwood,0.2636,0.7395,12.05
cz3102,Brookhaven,0.2633,0.7249,16.85
cz11203,Big Stone Gap,0.2622,0.7143,24.21
cz8000,Sumter,0.2621,0.7726,34.69
cz24600,Farmington,0.2613,0.7806,18.61
cz37000,Modesto,0.2604,0.7292,47.12
cz10600,Jasper,0.2603,0.7165,16.47
cz5500,Columbia,0.2599,0.7671,31.27
cz8702,Statesboro,0.2595,0.7417,19.86
cz33700,Ardmore,0.2593,0.7501,15.05
cz20002,Calais,0.2589,0.7099,5.183
cz37902,Reno,0.2589,0.7168,0.4226
cz25101,Mountain Home,0.2589,0.7642,12.7
cz5800,Dickson,0.2584,0.753,23.5
cz4800,Greenville,0.2583,0.7351,12.2
cz26902,Little Falls,0.2579,0.8306,13.19
cz25200,Henderson,0.2579,0.7782,24.94
cz6800,Lakeland,0.2577,0.7506,86.5
cz8701,Hinesville,0.2575,0.7606,24.79
cz13000,Elizabethtown,0.2571,0.7914,34.84
cz5201,New Albany,0.2568,0.7661,17.84
cz8601,Waycross,0.2567,0.7578,14.73
cz32402,Sweetwater,0.2564,0.7691,4.614
cz32701,Brownwood,0.2563,0.7594,5.362
cz4602,Somerset,0.2561,0.6981,20.67
cz200,Morristown,0.256,0.7346,64.44
cz32401,Big Spring,0.2559,0.772,4.298
cz31600,Brownsville,0.2552,0.7634,111.4
cz37100,Bakersfield,0.2552,0.7315,42.7
cz9002,Milledgeville,0.2547,0.752,19.41
cz2800,Laurel,0.2546,0.7451,15.87
cz34801,Las Vegas,0.2544,0.7545,1.72
cz25900,Jonesboro,0.2543,0.7481,23.39
cz601,North Wilkesboro,0.253,0.7442,33
cz5100,Corinth,0.2528,0.739,20.7
cz30801,Hobbs,0.2526,0.7395,6.04
cz12600,Wayne,0.2525,0.7668,50.44
cz33802,Chickasha,0.2522,0.7568,14.71
cz11002,Atmore,0.2522,0.759,8.543
cz33200,Paris,0.2522,0.7449,20.86
cz12402,Grayling charter,0.2521,0.7724,10.57
cz4502,Hazard,0.2519,0.6808,16.38
cz7800,Ocala,0.2506,0.7465,75.91
cz30603,Truth or Consequences,0.2499,0.7064,0.8615
cz10301,Eufaula,0.2499,0.7519,7.442
cz3201,Jena,0.2495,0.722,7.651
cz6600,Rome,0.2494,0.7405,63.12
cz4004,Many,0.2473,0.7518,9.887
cz22602,Shawano,0.2469,0.8243,14.2
cz11303,Colonial Beach,0.2466,0.7827,27.67
cz12001,Big Rapids,0.2464,0.7707,17.13
cz6402,Crossville,0.2457,0.7249,23.01
cz30906,Memphis,0.2457,0.7421,1.357
cz32305,Del Rio,0.2457,0.7681,2.882
cz10200,Albany,0.2454,0.7551,28.58
cz31302,Beeville,0.245,0.7837,9.768
cz35802,Ontario,0.2449,0.755,2.196
cz25105,Batesville,0.2448,0.7509,12.51
cz301,Middlesborough,0.2443,0.683,21.71
cz30100,Fort Smith,0.2432,0.7362,20.5
cz38100,Yuma,0.2405,0.6748,13.34
cz30604,Deming,0.2401,0.7085,2.232
cz9702,Americus,0.2397,0.7701,11.68
cz30200,Muskogee,0.2393,0.7347,21.57
cz25104,Heber Springs,0.2377,0.7355,10.4
cz37901,Las Vegas,0.2376,0.7364,18.52
cz25102,West Plains,0.2372,0.7441,7.855
cz27603,Southwest Jackson UT,0.2369,0.7627,0.6183
cz38902,Newport,0.2367,0.7449,13.83
cz37602,Winnemucca,0.2359,0.7789,0.7162
cz25702,Poplar Bluff,0.2355,0.7311,11.49
cz34803,Tucumcari,0.2353,0.7478,0.6668
cz32202,Nacogdoches,0.2352,0.7386,15.84
cz32802,Corsicana,0.2348,0.7557,11.51
cz4903,Lexington,0.2346,0.7494,14.74
cz30908,Plainview,0.2338,0.7865,6.375
cz9200,Griffin,0.2337,0.7491,53.56
cz25800,Blytheville,0.2335,0.7393,18.06
cz6301,McMinnville,0.2333,0.7376,25.68
cz9003,Dublin,0.2328,0.7562,15.59
cz4501,West Liberty,0.2311,0.6805,8.888
cz9302,Toccoa,0.231,0.7424,35.03
cz3101,McComb,0.2309,0.7318,12.19
cz29602,Eldon,0.2305,0.7697,18.78
cz25103,Harrison,0.2297,0.7432,12.04
cz29800,Aurora,0.2294,0.7594,26.31
cz11102,Troy,0.2294,0.7633,14.87
cz32304,Uvalde,0.2269,0.7515,2.561
cz5300,West Memphis,0.2269,0.7454,14.33
cz33603,Frederick,0.2267,0.747,3.658
cz6501,Ellijay,0.2256,0.7055,24.25
cz34602,Rawlins,0.2219,0.811,1.015
cz26105,Polk,0.2201,0.8013,4.158
cz8402,Washington,0.2195,0.7644,10.04
cz31403,Fort Stockton,0.2192,0.7794,1.074
cz4902,Dyersburg,0.2177,0.7547,19.85
cz31103,Gonzales,0.2152,0.7376,8.466
cz1301,Bennettsville,0.2148,0.7544,22
cz3001,Kosciusko,0.2112,0.7532,7.923
cz34002,Idabel,0.2111,0.7271,6.625
cz10101,Bainbridge,0.2111,0.7615,14.13
cz8502,Cordele,0.2103,0.737,14.48
cz7700,Lake City,0.2047,0.7479,15.45
cz36402,Vernal,0.2024,0.7189,3.094
cz32306,Eagle Pass,0.2019,0.7461,16.19
cz3902,Lake Providence,0.2001,0.7571,7.17
cz30403,Okmulgee,0.1991,0.7461,14.54
cz21502,Pine City,0.199,0.8246,11.32
cz31501,Crystal City,0.1986,0.7978,3.759
cz35500,Gallup,0.1976,0.7241,2.855
cz8501,Fitzgerald,0.1959,0.7586,13.35
cz27605,Mission,0.1944,0.6833,1.347
cz32303,Junction,0.187,0.7093,1.358
cz35905,Loa,0.1822,0.7972,0.499
cz35002,Safford,0.1697,0.735,2.704
cz30605,Van Horn,0.1572,0.824,0.2539
cz30702,Santa Rosa,0.1532,0.7931,0.4226
cz26603,East Corson UT,0.1456,0.7043,0.7447
cz31402,Pecos,0.145,0.753,2.768
cz27602,Eagle Butte,0.1122,0.6662,0.7043
cz31502,Pearsall,0.0906,0.7648,4.913
cz31304,Mason,,0.7593,1.994
cz29002,Coldwater,,0.8555,1.265
cz30907,Matador,,0.7646,0.477
cz34306,Jordan,,0.5714,0.1576
cz26405,Scobey,,0.8907,0.6325
cz27604,Murdo,,0.624,0.6146
