cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz22200,Cedar Rapids,0.3926,0.8342,56.41
cz27002,Ord,0.3922,0.8214,2.145
cz22002,Iowa Falls,0.3919,0.839,12.08
cz34203,Great Falls,0.3917,0.8089,3.946
cz15600,Wheeling,0.3917,0.8023,38.98
cz27401,Storm Lake,0.3917,0.8391,12.21
cz16901,Charleston,0.3916,0.7653,46.11
cz12901,Lexington-Fayette,0.3916,0.7738,100
cz22001,Waterloo,0.3912,0.838,34.42
cz28603,Phillipsburg,0.3907,0.8406,2.761
cz27102,Marshall,0.3906,0.8503,12.61
cz27801,Columbus-Norfolk,0.3903,0.8369,12.27
cz29203,Manhattan,0.3884,0.8134,18.43
cz16400,Youngstown,0.3877,0.7885,124.2
cz29201,Hiawatha,0.3875,0.8274,8.386
cz1203,Asheville,0.3867,0.7512,88.15
cz23500,Decatur,0.3867,0.8054,45.06
cz21002,Houghton,0.3865,0.7887,7.85
cz34308,Billings,0.3859,0.8062,9.293
cz30401,Stillwater,0.3854,0.7699,29.02
cz13101,Louisville,0.3853,0.7975,164.1
cz4001,Magnolia,0.3849,0.7688,8.737
cz17600,Charlottesville,0.3848,0.764,48.95
cz28305,Broken Bow,0.3847,0.8324,1.672
cz15900,Columbus,0.3845,0.7817,210.4
cz28002,West Point,0.3844,0.8499,7.673
cz31201,Austin,0.384,0.7683,150.6
cz28001,Sioux City,0.3838,0.8297,23.96
cz24802,Springfield,0.3835,0.8136,51.44
cz39400,Seattle,0.3831,0.7665,174.7
cz11401,Marquette,0.3831,0.8144,10.45
cz39202,Enterprise,0.3826,0.7732,0.91
cz11301,Fredericksburg,0.3818,0.7831,115.6
cz37700,Santa Rosa,0.3815,0.7477,46.65
cz23900,Peoria,0.381,0.8037,50.86
cz23700,Galesburg,0.381,0.8182,21.23
cz8100,Columbia,0.3805,0.7781,80.78
cz21202,Redwood Falls,0.3803,0.8639,8.226
cz27901,Hastings,0.38,0.8304,12.52
cz34805,Alamosa,0.3791,0.7671,2.295
cz38801,Portland,0.379,0.7595,176.1
cz23802,Clinton,0.3789,0.8383,25.35
cz29505,Polk,0.3783,0.8099,8.437
cz38000,San Diego,0.3782,0.7431,338.1
cz28302,Ogallala,0.378,0.8089,2.877
cz7900,Gainesville,0.3778,0.7568,45.59
cz38200,Santa Barbara,0.3776,0.746,54.78
cz29202,Marysville,0.3771,0.8312,4.914
cz39204,Condon,0.3763,0.8508,0.4977
cz2300,Lynchburg,0.3759,0.7941,54.76
cz15500,Steubenville,0.3759,0.797,84.72
cz900,Charlotte,0.3756,0.7677,194.6
cz3300,New Orleans,0.3754,0.7583,144.1
cz26204,Steele,0.3752,0.8745,0.8859
cz32000,Houston,0.374,0.7507,354.5
cz14700,Evansville,0.3738,0.8167,58.57
cz28301,Sterling,0.3737,0.798,2.593
cz14900,Gary,0.3733,0.7955,163.6
cz27701,Scottsbluff,0.3732,0.8253,4.459
cz29301,Wichita,0.3732,0.7917,52.75
cz3500,Baton Rouge,0.373,0.7719,88.11
cz21302,Owatonna,0.3726,0.8452,46.76
cz9301,Winder,0.3725,0.7526,101.1
cz29302,Newton,0.3724,0.8042,16.01
cz38502,Wenatchee,0.3705,0.7857,11.56
cz5600,Nashville,0.3704,0.7628,170.2
cz28102,Nebraska City,0.3703,0.8298,8.23
cz35903,Moab,0.37,0.7707,1.371
cz16703,Buckhannon,0.3699,0.7631,21.38
cz28401,Colorado Springs,0.3697,0.7701,62.26
cz33100,Dallas,0.3693,0.7531,404.3
cz19100,Reading,0.3687,0.7892,197.4
cz27302,Fairmont,0.3687,0.8408,12.27
cz22400,Sheboygan,0.3683,0.8521,87.81
cz7000,Miami,0.3679,0.7527,524.6
cz16500,Erie,0.3677,0.8022,51.56
cz27202,Worthington,0.3674,0.8391,9.451
cz13400,Lima,0.3672,0.8384,55.74
cz29004,Great Bend,0.3671,0.8226,6.122
cz18100,Elmira,0.3667,0.7959,42.54
cz27802,Columbus,0.3667,0.8384,11.49
cz34304,Sheridan,0.3665,0.8014,2.062
cz26504,Watertown,0.3662,0.8452,7.92
cz9800,Auburn,0.3659,0.7662,42.58
cz31800,College Station,0.3659,0.7578,42.55
cz29501,Leavenworth,0.3657,0.808,44.34
cz27005,Yankton,0.3656,0.8542,7.917
cz18400,Plattsburgh,0.3654,0.7979,15.77
cz17800,Oneonta,0.3645,0.7928,21.19
cz24400,Rockford,0.3643,0.8059,64.5
cz22601,Green Bay,0.3641,0.847,73.47
cz10700,Birmingham,0.362,0.745,110.4
cz1001,Boone,0.3613,0.7338,45.33
cz21301,Mankato,0.3604,0.8573,33.51
cz21900,Marshalltown,0.3602,0.8367,21.15
cz19200,Harrisburg,0.3598,0.8116,148.6
cz34303,Riverton,0.3596,0.7931,2.161
cz13501,Toledo,0.3594,0.8034,146.6
cz28609,Lexington,0.3593,0.8162,5.829
cz7300,Palm Bay,0.3589,0.7545,192.8
cz302,Knoxville,0.3588,0.7454,114.2
cz16701,Elkins,0.3586,0.7827,8.623
cz26702,Grafton,0.3585,0.8391,2.614
cz31303,Kerrville,0.3581,0.7349,14.89
cz24000,Kenosha,0.3576,0.813,160.1
cz26802,Lisbon,0.3575,0.8538,2.585
cz28402,Limon,0.3573,0.7504,0.7689
cz27101,Willmar,0.3571,0.8491,11.6
cz31005,Perryton,0.3571,0.7643,3.577
cz34902,Socorro,0.3565,0.7164,0.5345
cz26412,Williston,0.3563,0.7909,7.211
cz14100,Fort Wayne,0.3562,0.8065,85.48
cz17502,Winchester,0.3555,0.7933,57.69
cz16200,Altoona,0.3554,0.8052,51.92
cz9900,Tallahassee,0.3552,0.7646,37.06
cz1500,Wilmington,0.3546,0.7396,54.12
cz22500,Oshkosh,0.3541,0.8462,79.6
cz6000,Huntsville,0.354,0.757,86.91
cz27601,Rapid City,0.3537,0.8126,6.969
